t,robot_arr,theta_arr
0.028471947,[120.5  89.5],0
0.061916113,[121.  90.],0.014491739
0.096406937,[121.  90.],0
0.162155867,[120.5  89. ],0
0.228801012,[120.5  89. ],0.028977394
0.297012806,[122.   89.5],0.028977394
0.361867905,[126.  91.],0.014704822
0.427128077,[145.   94.5],0.028563658
0.49368,[166.5  95.5],0.014704822
0.559987068,[173.   93.5],-0.014924265
0.625396967,[190.5  91. ],0.014284743
0.692080975,[211.  92.],0.057906205
0.758035183,[217.   94.5],0
0.824136972,[233.5  91.5],-0.042830933
0.890254021,[249.5  89. ],0.014491739
0.956597805,[256.   91.5],0.057906205
1.022472143,[274.   92.5],-0.013887996
1.088643074,[281.  91.],-0.044089057
1.154433012,[294.5  90. ],0
1.220005035,[311.   90.5],0.056278536
1.286096096,[317.   92.5],0.044089057
1.353351116,[334.5  91. ],-0.013887996
1.420595169,[344.   90.5],0.028977394
1.483366013,[355.  92.],0.042830933
1.550983191,[372.   91.5],0
1.616132021,[379.5  91.5],-0.014704822
1.683365107,[393.5  90. ],-0.013697773
1.749002934,[403.5  91. ],0.028161567
1.815197945,[412.5  91.5],0
1.878323078,[428.   90.5],-0.013697773
1.944406033,[435.5  90.5],0.014284743
2.011887074,[449.   91.5],0.013697773
2.078135014,[460.   91.5],0.013887996
2.144968033,[469.5  91. ],0.013887996
2.210975885,[483.5  91.5],0.027390408
2.276825905,[493.5  92.5],0.042228402
2.343477011,[504.   92.5],0.013697773
2.408840179,[516.5  91.5],0.013887996
2.511429071,[526.  92.],0.041072779
2.573997021,[537.5  93. ],0.027020449
2.639235973,[551.5  93. ],0
2.705826998,[561.5  92.5],0.027390408
2.771192074,[571.5  93. ],0.041072779
2.837944031,[582.5  94. ],0.027390408
2.903568029,[594.5  93.5],0.027390408
2.968310833,[602.   92.5],0.041072779
3.034509897,[610.5  92.5],0.040518352
3.10038805,[621.5  94. ],0.041072779
3.166600943,[627.   94.5],0.05473978
3.232711077,[631.5  95. ],0.094313951
3.29658103,[640.5  96.5],0.136138961
3.364480019,[652.  99.],0.287575831
3.430506945,[659. 101.],0.51238946
3.496917009,[661. 103.],0.670521558
3.563807964,[669.  113.5],0.708626272
3.629366875,[680.5 122. ],0.834862732
3.696099997,[684.5 122.5],1.119726671
3.761451006,[681. 131.],1.249045772
3.828110933,[682.  142.5],1.158385885
3.894109011,[690.5 145. ],1.217093181
3.959580183,[695.  154.5],1.414928125
4.025843859,[690.5 160.5],1.514517791
4.091688156,[689. 169.],1.412706356
4.158216,[693.  175.5],1.428899272
4.224203825,[695.  183.5],1.570796327
4.289810181,[691. 196.],1.655103059
4.355756998,[689.5 204. ],1.570796327
4.421932936,[692. 215.],1.556511584
4.488070011,[692. 227.],1.65630162
4.552320004,[688.5 236.5],1.684588334
4.655882835,[687.5 250.5],1.584879903
4.715819836,[689. 259.],1.556304588
4.782160997,[689.  271.5],1.626294832
4.849612951,[686. 285.],1.627074863
4.915336847,[686. 292.],1.542232669
4.982023001,[689. 306.],1.54302569
5.04695797,[688.5 315.5],1.626294832
5.11370492,[686.  322.5],1.641102791
5.179821014,[685.5 331.5],1.570796327
5.246492147,[688.5 338. ],1.584879903
5.31220603,[687.5 346. ],1.722401814
5.37801218,[685.5 345.5],1.78188966
5.444092035,[684.5 345. ],1.724503856
5.51086092,[687. 345.],1.722401814
5.576753139,[691.  344.5],1.892546881
5.642724991,[687.  343.5],2.016373614
5.708539963,[680.5 344.5],2.182698761
5.805934906,[662.5 335.5],2.4186133
5.873070002,[654. 339.],2.955369813
5.938968897,[638.5 342. ],2.782821983
6.005479097,[630. 348.],2.907176978
6.071685076,[616. 349.],3.084511871
6.138010025,[605.5 345.5],3.113822017
6.203762054,[594.  347.5],2.978865279
6.269833803,[585. 352.],2.957970327
6.336560965,[575.5 353. ],3.024483909
6.40188098,[564.5 352.5],2.974160875
6.467857122,[555.  355.5],2.865265379
6.533499956,[548.  360.5],2.869129504
6.599832058,[537.5 364. ],2.93049932
6.666356802,[527.  363.5],2.913735605
6.73192215,[518.  366.5],2.842060665
6.797317982,[513.5 369. ],2.842060665
6.861965895,[505. 372.],2.886410263
6.928829193,[494.5 372. ],2.916881485
6.995549202,[484.5 373.5],2.886410263
7.061170101,[475.5 377.5],2.900026946
7.126708984,[465.  379.5],2.987885125
7.193096876,[454.5 379. ],3.044675026
7.25893116,[443.5 380. ],3.001667983
7.325215816,[434. 383.],3.001667983
7.391664982,[422. 385.],3.058451422
7.456254959,[411.5 384. ],3.086094148
7.523823977,[401. 384.],3.029389839
7.589456081,[390.5 386.5],3.030935432
7.655539036,[381.5 388. ],3.099364251
7.721096754,[369.  386.5],3.114202245
7.787357092,[359.  386.5],3.099950074
7.853473902,[349.5 388. ],3.099950074
7.920157909,[338.5 388. ],3.114202245
7.985808134,[328.5 386.5],3.114202245
8.05162406,[317.5 387. ],3.100519875
8.117493868,[306.5 388. ],3.113431087
8.183480024,[296. 387.],-3.141592654
8.249089003,[284. 386.],-3.141592654
8.311769009,[273.5 386. ],3.113822017
8.379518032,[262.5 387. ],3.114202245
8.446577072,[252.5 387. ],-3.141592654
8.513414145,[241. 386.],-3.141592654
8.578375101,[230.5 386. ],3.113822017
8.645252943,[221.5 387.5],3.114202245
8.713086843,[211.5 388.5],3.12789488
8.778702974,[203.5 388.5],3.12789488
8.8435781,[196.  389.5],3.12789488
8.944875956,[188.5 390.5],3.128079963
9.009701014,[182.  390.5],-3.12789488
9.074388981,[176.5 390. ],-3.101074301
9.14003706,[175.5 390. ],-3.059585208
9.205459118,[174.5 389.5],-3.059585208
9.272797108,[172.  389.5],-3.045994535
9.337882996,[171.5 389. ],-3.017237659
9.404532909,[169.5 388.5],-3.005453693
9.470937014,[168.5 389. ],-2.992032914
9.537193775,[166.  388.5],-2.978666195
9.602739811,[165. 388.],-2.962961647
9.669310093,[163.  387.5],-2.949544636
9.734841108,[158.  386.5],-2.909727993
9.800745964,[155.  385.5],-2.876549794
9.866539955,[141. 380.],-2.850135859
9.932569981,[132.  377.5],-2.629203193
9.997403145,[121.5 366.5],-2.443351765
10.06400704,[117.5 363. ],-2.260335343
10.13044405,[114.5 358. ],-2.186135869
10.19633818,[107.5 336. ],-2.13228999
10.262784,[ 97. 316.],-1.878849108
10.32854104,[ 96. 305.],-1.515297822
,,-1.460139106